gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
2;2;2;184;31,309074;3;-0,054345;0,61343;-0,658082;-0,4161;-0,368004;0,323463;33;1;158;21,631149;3;-0,773762;0,065587;0,339008;0,054438;0,518587;0,466602;28
2;1;1;186;25,147415;3;-0,094657;-0,484713;-0,40636;-0,139505;-0,092253;0,298339;40;2;181;21,366869;3;0,48928;0,746537;0,380545;0,281905;0,83419;0,329698;37
3;2,5;2;188;25,46401;4;-0,18764;-0,786178;-0,545054;0,05838;-0,374031;0,136072;36;2;172;19,267172;3;-0,073772;-0,503567;-0,025741;-0,638314;-0,286893;0,325226;33
2;2;1;180;22,530865;3;0,50045;0,18853;-0,146704;0,455273;-0,324459;0,169894;36;2;172;23,661438;0;0,490736;0,207384;-0,675813;-0,593932;-0,247041;-0,060847;35
2;1;2;184;24,515596;3;0,19209;-0,219481;-0,277462;0,2129;0,02871;0,422352;28;2;178;20,515087;3;-0,752149;0,73883;-0,182166;0,168402;0,088048;0,078169;25
2;2;2;178;24,618103;4;0,080408;-0,767815;0,981145;-0,355477;0,661323;0,578362;31;2;172;22,647377;3;0,902522;-1,335986;0,180722;0,212273;1,224878;0,201976;33
2;2;3;173;24,056934;4;-0,762591;0,177383;0,059759;0,08325;0,73874;0,239853;41;3;163;19,571682;3;0,192819;1,153565;-0,424092;-0,189441;0,155699;0,305156;39
2;1;2;187;20,589664;3;-1,430525;0,179348;0,164852;0,146239;1,014491;0,574712;34;2;178;23,04002;4;-1,020197;0,046733;0,200314;-0,117679;-0,144158;0,548367;30
2;2;2;177;24,89706;4;-0,208525;0,046241;-0,025741;-0,059292;0,121873;0,227641;44;2;178;22,09317;2;-0,475116;0,59605;-0,303129;-0,337035;-0,386083;-0,512063;39
1,5;2;3;180;19,444445;4;-0,743163;-0,503567;0,009722;1,244762;-0,374031;0,197488;40;2;162;20,195093;3;0,327571;-0,199644;1,258533;-0,565911;0,915301;0,22383;36
2;2;3;187;19,731762;3;-0,761134;-0,067029;1,639153;0,857873;1,97476;-0,083916;42;3;165;23,507805;4;0,358898;1,021932;0,198453;0,048225;-0,023195;0,296697;38
1;1;2;182;20,830818;4;-0,362705;-0,095556;-0,582378;-0,242558;-0,038941;-0,26061;37;2;157;24,341759;4;1,178827;-1,337952;-0,277462;-0,163833;-0,280867;0,187257;34
